"Net generation for electric power"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=008&linechart=ELEC.GEN.COW-CT-98.A&columnchart=ELEC.GEN.COW-CT-98.A&map=ELEC.GEN.COW-CT-98.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Fri Aug 18 2017 17:48:24 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Net generation for electric power","thousand megawatthours",,,,,,,,
"United States",,"ELEC.GEN..A",,,,,,,
"New England",,"ELEC.GEN..A",,,,,,,
"Connecticut",,"ELEC.GEN..A",,,,,,,
"Connecticut : all fuels (utility-scale)",,"ELEC.GEN.ALL-CT-98.A",,,,,,,
"Connecticut : coal","thousand megawatthours","ELEC.GEN.COW-CT-98.A",2604,526,653,681,825,600,177
"Connecticut : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-CT-98.A",407,161,108,302,501,418,88
"Connecticut : petroleum coke","thousand megawatthours","ELEC.GEN.PC-CT-98.A","--","--","--","--","--","--","--"
"Connecticut : natural gas","thousand megawatthours","ELEC.GEN.NG-CT-98.A",11355,14750,15808,14872,13822,16500,16987
"Connecticut : other gases","thousand megawatthours","ELEC.GEN.OOG-CT-98.A",14,"--","--","--","--","--","--"
"Connecticut : nuclear","thousand megawatthours","ELEC.GEN.NUC-CT-98.A",16750,15928,17078,17080,15841,17411,16575
"Connecticut : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-CT-98.A",391,567,312,402,434,302,286
"Connecticut : other renewables",,"ELEC.GEN.AOR-CT-98.A",,,,,,,
"Connecticut : wind","thousand megawatthours","ELEC.GEN.WND-CT-98.A","--","--","--","--","--","--",14
"Connecticut : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CT-98.A","--","--","--",0,12,17,28
