"Net generation for residential"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=004&linechart=ELEC.GEN.COW-CT-8.A&columnchart=ELEC.GEN.COW-CT-8.A&map=ELEC.GEN.COW-CT-8.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Fri Aug 18 2017 17:50:21 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Net generation for residential","thousand megawatthours",,,,,,,,
"United States",,"ELEC.GEN..A",,,,,,,
"New England",,"ELEC.GEN..A",,,,,,,
"Connecticut",,"ELEC.GEN..A",,,,,,,
"Connecticut : all fuels (utility-scale)",,"ELEC.GEN.ALL-CT-8.A",,,,,,,
"Connecticut : coal","thousand megawatthours","ELEC.GEN.COW-CT-8.A","--","--","--","--","--","--","--"
"Connecticut : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-CT-8.A","--","--","--","--","--","--","--"
"Connecticut : petroleum coke","thousand megawatthours","ELEC.GEN.PC-CT-8.A","--","--","--","--","--","--","--"
"Connecticut : natural gas","thousand megawatthours","ELEC.GEN.NG-CT-8.A","--","--","--","--","--","--","--"
"Connecticut : other gases","thousand megawatthours","ELEC.GEN.OOG-CT-8.A","--","--","--","--","--","--","--"
"Connecticut : nuclear","thousand megawatthours","ELEC.GEN.NUC-CT-8.A","--","--","--","--","--","--","--"
"Connecticut : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-CT-8.A","--","--","--","--","--","--","--"
"Connecticut : other renewables",,"ELEC.GEN.AOR-CT-8.A",,,,,,,
"Connecticut : wind","thousand megawatthours","ELEC.GEN.WND-CT-8.A","--","--","--","--","--","--","--"
"Connecticut : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CT-8.A","--","--","--","--","--","--","--"
"Connecticut : geothermal","thousand megawatthours","ELEC.GEN.GEO-CT-8.A","--","--","--","--","--","--","--"
"Connecticut : biomass","thousand megawatthours","ELEC.GEN.BIO-CT-8.A","--","--","--","--","--","--","--"
"Connecticut : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-CT-8.A","--","--","--","--","--","--","--"
"Connecticut : other","thousand megawatthours","ELEC.GEN.OTH-CT-8.A","--","--","--","--","--","--","--"
"Connecticut : all solar",,"ELEC.GEN.TSN-CT-8.A",,,,,,,
"Connecticut : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-CT-8.A","--","--","--","--",52,98,174
"Connecticut : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CT-8.A","--","--","--","--","--","--","--"
"Maine",,"ELEC.GEN..A",,,,,,,
"Maine : all fuels (utility-scale)",,"ELEC.GEN.ALL-ME-8.A",,,,,,,
"Maine : coal","thousand megawatthours","ELEC.GEN.COW-ME-8.A","--","--","--","--","--","--","--"
"Maine : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-ME-8.A","--","--","--","--","--","--","--"
"Maine : petroleum coke","thousand megawatthours","ELEC.GEN.PC-ME-8.A","--","--","--","--","--","--","--"
"Maine : natural gas","thousand megawatthours","ELEC.GEN.NG-ME-8.A","--","--","--","--","--","--","--"
"Maine : other gases","thousand megawatthours","ELEC.GEN.OOG-ME-8.A","--","--","--","--","--","--","--"
"Maine : nuclear","thousand megawatthours","ELEC.GEN.NUC-ME-8.A","--","--","--","--","--","--","--"
"Maine : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-ME-8.A","--","--","--","--","--","--","--"
"Maine : other renewables",,"ELEC.GEN.AOR-ME-8.A",,,,,,,
"Maine : wind","thousand megawatthours","ELEC.GEN.WND-ME-8.A","--","--","--","--","--","--","--"
"Maine : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ME-8.A","--","--","--","--","--","--","--"
"Maine : geothermal","thousand megawatthours","ELEC.GEN.GEO-ME-8.A","--","--","--","--","--","--","--"
"Maine : biomass","thousand megawatthours","ELEC.GEN.BIO-ME-8.A","--","--","--","--","--","--","--"
"Maine : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-ME-8.A","--","--","--","--","--","--","--"
"Maine : other","thousand megawatthours","ELEC.GEN.OTH-ME-8.A","--","--","--","--","--","--","--"
"Maine : all solar",,"ELEC.GEN.TSN-ME-8.A",,,,,,,
"Maine : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-ME-8.A","--","--","--","--",9,13,19
"Maine : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ME-8.A","--","--","--","--","--","--","--"
"Massachusetts",,"ELEC.GEN..A",,,,,,,
"Massachusetts : all fuels (utility-scale)",,"ELEC.GEN.ALL-MA-8.A",,,,,,,
"Massachusetts : coal","thousand megawatthours","ELEC.GEN.COW-MA-8.A","--","--","--","--","--","--","--"
"Massachusetts : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MA-8.A","--","--","--","--","--","--","--"
"Massachusetts : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MA-8.A","--","--","--","--","--","--","--"
"Massachusetts : natural gas","thousand megawatthours","ELEC.GEN.NG-MA-8.A","--","--","--","--","--","--","--"
"Massachusetts : other gases","thousand megawatthours","ELEC.GEN.OOG-MA-8.A","--","--","--","--","--","--","--"
"Massachusetts : nuclear","thousand megawatthours","ELEC.GEN.NUC-MA-8.A","--","--","--","--","--","--","--"
"Massachusetts : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MA-8.A","--","--","--","--","--","--","--"
"Massachusetts : other renewables",,"ELEC.GEN.AOR-MA-8.A",,,,,,,
"Massachusetts : wind","thousand megawatthours","ELEC.GEN.WND-MA-8.A","--","--","--","--","--","--","--"
